MMWR Year,Jurisdiction of Occurrence,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
2021,Oklahoma,48926.0,44595.0,101.0,8116.0,1575.0,1543.0,303.0,2773.0,126.0,247.0,22.0,11904.0,1845.0,7742.0,6666.0
2021,Oregon,44877.0,40394.0,0.0,8560.0,1422.0,2037.0,23.0,1880.0,348.0,139.0,564.0,7787.0,2343.0,4160.0,3648.0
2021,Pennsylvania,155539.0,141815.0,2543.0,27694.0,4162.0,4073.0,1845.0,5536.0,2244.0,3044.0,2148.0,32460.0,6784.0,20298.0,17994.0
2021,Rhode Island,11594.0,10464.0,0.0,2213.0,52.0,278.0,0.0,178.0,0.0,24.0,0.0,2416.0,236.0,1109.0,858.0
2021,South Carolina,64033.0,57713.0,747.0,10376.0,1739.0,2404.0,434.0,2830.0,851.0,872.0,156.0,11925.0,3009.0,9402.0,8716.0
2021,South Dakota,9370.0,8476.0,0.0,1740.0,55.0,179.0,0.0,294.0,0.0,0.0,0.0,1697.0,132.0,874.0,744.0
2021,Tennessee,94721.0,84852.0,1134.0,14855.0,2739.0,2921.0,1307.0,4548.0,1120.0,1286.0,949.0,19087.0,4119.0,13524.0,12412.0
2021,Texas,270280.0,247649.0,3631.0,42973.0,8174.0,10463.0,2987.0,10087.0,3217.0,4574.0,2352.0,50911.0,12116.0,48283.0,44823.0
2021,Utah,23456.0,20934.0,33.0,3594.0,827.0,1021.0,31.0,868.0,45.0,122.0,39.0,4415.0,919.0,2636.0,2381.0
2021,Vermont,6628.0,5909.0,0.0,1391.0,0.0,88.0,0.0,41.0,0.0,0.0,0.0,1542.0,0.0,156.0,91.0
2021,Virginia,84696.0,77371.0,1050.0,15558.0,2644.0,2560.0,892.0,3166.0,1323.0,1628.0,673.0,16499.0,4058.0,9573.0,8688.0
2021,Washington,68550.0,61631.0,422.0,13568.0,2229.0,3647.0,328.0,2643.0,827.0,196.0,611.0,12735.0,3190.0,6132.0,5385.0
2021,West Virginia,28665.0,25624.0,69.0,4712.0,1164.0,814.0,197.0,1534.0,37.0,591.0,402.0,5346.0,999.0,3871.0,3406.0
2021,Wisconsin,60621.0,54500.0,463.0,11235.0,1676.0,2376.0,378.0,2432.0,590.0,849.0,91.0,12765.0,2603.0,6013.0,5100.0
2021,Wyoming,5931.0,5349.0,0.0,1047.0,0.0,10.0,0.0,76.0,0.0,0.0,0.0,1062.0,0.0,857.0,779.0
2022,Alabama,60948.0,55881.0,1134.0,10099.0,1589.0,2607.0,887.0,3096.0,1096.0,1300.0,959.0,14739.0,3163.0,4217.0,3415.0
2022,Alaska,5536.0,4673.0,0.0,1011.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1006.0,14.0,159.0,136.0
2022,Arizona,74843.0,66098.0,321.0,13255.0,2423.0,2816.0,943.0,3599.0,1101.0,812.0,809.0,14765.0,3380.0,5861.0,4664.0
2022,Arkansas,37518.0,34498.0,544.0,6568.0,1413.0,1579.0,555.0,2396.0,377.0,799.0,0.0,8586.0,1723.0,2747.0,2024.0
2022,California,314462.0,285879.0,1830.0,60578.0,11590.0,17318.0,5278.0,11966.0,3266.0,4992.0,2846.0,66515.0,18406.0,22270.0,17431.0
2022,Colorado,47485.0,41234.0,343.0,8394.0,1223.0,1866.0,276.0,2468.0,640.0,438.0,34.0,8526.0,2159.0,3386.0,2279.0
2022,Connecticut,34812.0,31628.0,291.0,6707.0,728.0,1076.0,423.0,1230.0,547.0,745.0,129.0,6978.0,1529.0,2546.0,2012.0
2022,Delaware,11341.0,10215.0,0.0,2348.0,110.0,249.0,10.0,220.0,0.0,0.0,0.0,2202.0,821.0,651.0,412.0
2022,Florida,241839.0,218695.0,2924.0,46950.0,7617.0,6349.0,2921.0,11260.0,2865.0,3853.0,3820.0,50595.0,16657.0,16846.0,12455.0
2022,Georgia,102355.0,92902.0,1809.0,18380.0,2685.0,4264.0,1332.0,4755.0,2232.0,2351.0,1272.0,21742.0,5095.0,7180.0,5663.0
2022,Hawaii,13259.0,12203.0,0.0,2578.0,88.0,423.0,31.0,83.0,11.0,51.0,55.0,2884.0,866.0,503.0,279.0
2022,Idaho,17035.0,15344.0,0.0,3117.0,235.0,842.0,43.0,969.0,10.0,0.0,0.0,3455.0,731.0,1000.0,621.0
2022,Illinois,118998.0,108625.0,1715.0,22809.0,3391.0,4091.0,1928.0,5089.0,1628.0,2810.0,1290.0,25975.0,6447.0,8610.0,6849.0
2022,Indiana,75809.0,68889.0,830.0,13825.0,2514.0,2266.0,855.0,4584.0,1182.0,1577.0,234.0,15576.0,3490.0,5966.0,4689.0
2022,Iowa,33663.0,31087.0,90.0,6256.0,996.0,1353.0,236.0,1737.0,300.0,280.0,135.0,7746.0,1373.0,2214.0,1642.0
2022,Kansas,30513.0,27742.0,63.0,5307.0,956.0,925.0,219.0,1630.0,213.0,508.0,52.0,6292.0,1257.0,2350.0,1876.0
2022,Kentucky,56968.0,51473.0,1044.0,10320.0,1678.0,1496.0,833.0,3264.0,917.0,1259.0,616.0,11588.0,2272.0,5723.0,4095.0
