MMWR Year,Jurisdiction of Occurrence,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
2021,Pennsylvania,155539,141815,2543,27694,4162,4073,1845,5536,2244,3044,2148,32460,6784,20298,17994
2021,Rhode Island,11594,10464,0,2213,52,278,0,178,0,24,0,2416,236,1109,858
2021,South Carolina,64033,57713,747,10376,1739,2404,434,2830,851,872,156,11925,3009,9402,8716
2021,South Dakota,9370,8476,0,1740,55,179,0,294,0,0,0,1697,132,874,744
2021,Tennessee,94721,84852,1134,14855,2739,2921,1307,4548,1120,1286,949,19087,4119,13524,12412
2021,Texas,270280,247649,3631,42973,8174,10463,2987,10087,3217,4574,2352,50911,12116,48283,44823
2021,Utah,23456,20934,33,3594,827,1021,31,868,45,122,39,4415,919,2636,2381
2021,Vermont,6628,5909,0,1391,0,88,0,41,0,0,0,1542,0,156,91
2021,Virginia,84696,77371,1050,15558,2644,2560,892,3166,1323,1628,673,16499,4058,9573,8688
2021,Washington,68550,61631,422,13568,2229,3647,328,2643,827,196,611,12735,3190,6132,5385
2021,West Virginia,28665,25624,69,4712,1164,814,197,1534,37,591,402,5346,999,3871,3406
2021,Wisconsin,60621,54500,463,11235,1676,2376,378,2432,590,849,91,12765,2603,6013,5100
2021,Wyoming,5931,5349,0,1047,0,10,0,76,0,0,0,1062,0,857,779
2022,Alabama,60948,55881,1134,10099,1589,2607,887,3096,1096,1300,959,14739,3163,4217,3415
2022,Alaska,5536,4673,0,1011,0,0,0,10,0,0,0,1006,14,159,136
2022,Arizona,74843,66098,321,13255,2423,2816,943,3599,1101,812,809,14765,3380,5861,4664
2022,Arkansas,37518,34498,544,6568,1413,1579,555,2396,377,799,0,8586,1723,2747,2024
2022,California,314462,285879,1830,60578,11590,17318,5278,11966,3266,4992,2846,66515,18406,22270,17431
2022,Colorado,47485,41234,343,8394,1223,1866,276,2468,640,438,34,8526,2159,3386,2279
2022,Connecticut,34812,31628,291,6707,728,1076,423,1230,547,745,129,6978,1529,2546,2012
2022,Delaware,11341,10215,0,2348,110,249,10,220,0,0,0,2202,821,651,412
2022,Florida,241839,218695,2924,46950,7617,6349,2921,11260,2865,3853,3820,50595,16657,16846,12455
2022,Georgia,102355,92902,1809,18380,2685,4264,1332,4755,2232,2351,1272,21742,5095,7180,5663
2022,Hawaii,13259,12203,0,2578,88,423,31,83,11,51,55,2884,866,503,279
2022,Idaho,17035,15344,0,3117,235,842,43,969,10,0,0,3455,731,1000,621
2022,Illinois,118998,108625,1715,22809,3391,4091,1928,5089,1628,2810,1290,25975,6447,8610,6849
2022,Indiana,75809,68889,830,13825,2514,2266,855,4584,1182,1577,234,15576,3490,5966,4689
2022,Iowa,33663,31087,90,6256,996,1353,236,1737,300,280,135,7746,1373,2214,1642
2022,Kansas,30513,27742,63,5307,956,925,219,1630,213,508,52,6292,1257,2350,1876
2022,Kentucky,56968,51473,1044,10320,1678,1496,833,3264,917,1259,616,11588,2272,5723,4095
2022,Louisiana,52287,46154,1115,9128,1651,2089,478,2200,993,1076,448,12300,2725,3092,2264
2022,Maine,17076,15349,0,3375,444,393,65,851,32,22,0,3570,547,955,616
2022,Maryland,62164,55378,954,11881,1772,1200,565,1921,467,691,23,13372,3382,4558,3148
2022,Massachusetts,63977,58276,966,12741,1513,1565,909,2376,1079,1415,950,12463,2390,4295,3187
2022,Michigan,108566,99544,1281,20736,3384,4158,1398,5215,1294,2061,717,26796,5678,8016,5759
2022,Minnesota,50945,45902,309,10353,1514,2359,300,2160,596,473,1217,9082,2335,3330,2204
2022,Mississippi,36693,33448,55,6497,1257,1679,674,2205,206,724,22,8722,1819,3164,2189
2022,Missouri,73735,66500,1088,13437,1886,2620,1074,3840,1161,1752,185,16407,3341,5389,4402
2022,Montana,11726,10482,0,2212,62,54,0,488,0,0,0,2564,128,522,319
2022,Nebraska,18733,17300,12,3501,400,698,77,911,0,12,0,3800,863,1175,725
2022,Nevada,31921,28511,30,5441,911,859,496,1635,10,33,47,7596,1534,2688,2192
2022,New Hampshire,14266,12895,0,2789,190,234,0,724,10,0,0,2932,460,679,387
2022,New Jersey,80801,74858,2025,15188,2087,2317,1150,2685,1900,1776,1593,18581,3609,6507,4913
2022,New Mexico,22733,19712,23,3493,785,664,126,1083,141,88,10,4268,966,1957,1464
2022,New York,171964,158160,2427,32484,4769,3182,3991,6010,3190,2553,2884,42712,6419,14791,10886
2022,North Carolina,111424,100453,1453,20339,3732,4211,1435,5153,1753,2120,1706,21275,6121,8259,6258
2022,North Dakota,7727,6972,0,1306,35,58,0,65,0,0,0,1671,106,362,239
2022,Ohio,137625,125016,1995,24631,4230,4949,1872,6744,2337,2547,1561,29898,7215,11834,9156
2022,Oklahoma,46462,42017,55,8171,1525,1583,421,2980,127,249,253,11938,1810,4528,3171
2022,Oregon,44424,40022,55,8454,1440,2013,158,1976,340,274,672,8074,2618,2787,1864
2022,Pennsylvania,147188,133790,2611,27634,4104,4027,2006,5829,2415,3159,2298,32383,6889,11501,8632
2022,Rhode Island,11025,9965,0,2167,43,315,0,227,0,0,0,2377,272,583,350
2022,South Carolina,59779,53426,870,10685,1757,2414,525,2845,941,919,151,11835,3001,4559,3363
2022,South Dakota,9131,8223,0,1698,56,171,0,167,0,0,0,1840,204,478,288
2022,Tennessee,88338,78627,1075,14999,2780,2950,1406,4326,1088,1294,932,19275,4294,7197,5683
2022,Texas,244608,221640,3675,44039,7912,10451,3066,10072,3664,4849,2731,51074,12420,18524,14908
2022,Utah,22703,20207,42,3605,764,1084,50,932,86,139,58,4617,1004,1252,868
2022,Vermont,6661,5939,0,1442,0,55,12,21,0,0,0,1545,12,164,67
2022,Virginia,81998,74959,1060,15646,2842,2515,996,3199,1328,1673,1142,16716,4264,5953,4588
2022,Washington,68930,61552,665,13400,2190,3675,679,2932,930,437,797,13143,3317,4135,2888
2022,West Virginia,26930,24183,10,4620,1045,698,335,1657,0,536,436,5301,1082,2344,1746
2022,Wisconsin,60054,53815,558,11568,1467,2352,454,2679,693,863,318,13020,2721,3870,2780
2022,Wyoming,5440,4828,0,998,0,0,0,93,0,0,0,1100,0,181,131
2023,Alabama,21440,19994,419,3875,517,865,333,1205,412,509,608,5300,1121,600,416
2023,Alaska,1701,1457,0,307,0,0,0,0,0,0,0,279,10,0,0
2023,Arizona,27573,25053,189,5027,937,1099,425,1490,513,337,926,5939,1262,718,460
2023,Arkansas,13493,12659,250,2452,485,569,190,961,155,294,217,3136,700,370,201
2023,California,114362,108040,735,22440,4416,6265,2167,4977,1358,2003,5682,24765,6893,3386,2315
2023,Colorado,17285,15659,185,3157,436,717,60,1006,253,215,633,3102,865,502,206
2023,Connecticut,12513,11695,102,2415,256,395,227,494,230,222,399,2568,592,382,256
2023,Delaware,4075,3809,0,849,33,23,0,66,0,0,54,891,329,118,0
2023,Florida,89944,83121,1041,18249,2814,2331,1252,4474,1167,1397,3708,19359,6519,2622,1746
2023,Georgia,34379,32084,701,6674,924,1564,505,1733,924,843,691,7640,1811,1060,694
2023,Hawaii,4832,4598,0,965,20,129,22,20,0,11,348,1001,337,10,0
2023,Idaho,6238,5748,0,1237,88,280,21,345,0,0,170,1289,306,67,22
2023,Illinois,42278,39870,725,8580,1067,1510,746,1906,617,1027,2127,9263,2561,1175,791
2023,Indiana,25875,24169,349,5067,855,848,345,1752,486,551,152,5717,1338,750,472
2023,Iowa,12191,11462,33,2446,326,556,144,651,142,122,47,2961,519,382,194
2023,Kansas,11262,10597,23,2052,357,348,87,662,99,100,491,2348,499,315,179
2023,Kentucky,19229,17674,365,3901,618,527,264,1308,313,447,207,3963,824,911,505
2023,Louisiana,16328,15266,353,3218,534,658,161,820,376,363,192,4145,847,415,247
2023,Maine,6465,6027,0,1278,178,203,38,353,31,0,133,1361,244,181,88
2023,Maryland,22194,20316,350,4431,702,458,215,771,206,282,676,4784,1134,749,418
2023,Massachusetts,23894,22773,414,4770,573,677,417,991,449,522,1670,4324,892,876,587
2023,Michigan,38731,36386,434,7697,1207,1579,615,1966,546,717,1305,9702,2134,1326,808
2023,Minnesota,18239,16925,110,3943,557,886,122,833,274,111,474,3358,876,751,446
2023,Mississippi,12624,11630,12,2327,443,668,237,772,134,229,171,3014,648,460,236
2023,Missouri,25407,23582,404,5090,685,900,430,1511,465,675,58,5816,1269,725,552
2023,Montana,4247,3951,0,839,11,31,0,283,0,0,36,934,30,36,12
2023,Nebraska,6962,6601,11,1378,189,269,12,413,0,0,53,1454,296,223,68
2023,Nevada,11410,10413,13,2061,391,328,202,625,10,12,507,2693,529,226,126
2023,New Hampshire,5360,5008,0,1076,44,90,0,295,0,0,100,1143,191,130,84
2023,New Jersey,28951,27721,772,5737,685,870,434,1028,728,666,1660,6699,1333,1039,673
2023,New Mexico,7829,7181,0,1358,283,208,49,363,65,0,434,1580,366,211,117
2023,New York,62883,59829,980,12186,1735,1196,1645,2441,1271,977,3848,15597,2477,2394,1511
2023,North Carolina,40936,38594,520,7827,1312,1560,593,2104,724,810,2303,8017,2354,1474,905
2023,North Dakota,2837,2652,0,530,0,65,0,31,0,0,0,641,0,0,0
2023,Ohio,48400,45006,763,9103,1540,1811,734,2421,885,893,2316,10475,2687,1665,1062
2023,Oklahoma,15999,15044,26,2854,456,549,207,1123,46,99,1148,4177,655,669,349
2023,Oregon,15735,14609,22,3037,498,757,76,756,217,56,778,2928,854,425,234
2023,Pennsylvania,53806,50050,1062,10400,1441,1573,793,2413,1010,1194,1887,12050,2642,1946,1238
2023,Rhode Island,4255,4006,0,851,10,169,0,75,0,0,217,917,158,47,0
2023,South Carolina,21337,19680,302,4018,611,867,176,1077,330,326,1063,4391,1049,784,417
2023,South Dakota,3100,2908,0,629,21,42,0,87,0,0,0,675,81,11,0
2023,Tennessee,31271,28711,412,5748,985,965,517,1784,421,490,1483,6778,1523,1130,743
2023,Texas,86605,80998,1358,16608,2896,3812,1229,3953,1510,1793,3506,18332,4627,2611,1798
2023,Utah,8351,7609,34,1425,248,401,43,367,35,22,244,1763,331,40,11
2023,Vermont,2437,2226,0,508,0,22,0,43,0,0,14,540,0,22,0
2023,Virginia,29523,28113,392,5777,948,856,349,1317,533,622,1769,6082,1634,1015,645
2023,Washington,25002,22835,226,5112,745,1327,260,1088,343,164,975,4768,1187,715,450
2023,West Virginia,9566,8846,12,1740,356,170,134,628,46,139,508,2008,387,345,234
2023,Wisconsin,21748,20253,213,4327,549,929,247,967,323,288,1043,4773,1025,616,397
2023,Wyoming,1975,1807,0,316,0,0,0,61,0,0,24,401,0,0,0
